route_id,trip_id,service_id,direction_id,shape_id
15216,1054167,1,1,2
15216,1054168,1,0,1
15216,1054169,1,1,2
15216,1054170,1,0,1
15216,1054171,1,1,2
15216,1054172,1,0,1
15216,1054175,1,0,1
15216,1054176,1,1,2
15216,1054177,1,0,1
15216,1054178,1,1,2
15216,1054179,1,0,1
15216,1054180,1,1,2
15216,1054184,1,0,1
15216,1054185,1,1,2
15216,1054186,1,1,2
15216,1054187,1,0,1
15216,1054188,1,1,2
15216,1054189,1,0,1
15216,1054190,1,1,2
15216,1054191,1,0,1
15216,1054192,1,1,2
15216,1054194,1,0,1
15216,1054195,1,1,2
15216,1054196,1,0,1
15216,1054197,1,1,2
15216,1054198,1,0,1
15216,1054199,1,1,2
15216,1054200,1,0,1
15216,1054201,1,1,2
15216,1054202,1,0,1
15216,1054203,1,1,2
15216,1054204,1,0,1
15216,1054205,1,1,2
15216,1054206,1,0,1
15216,1054207,1,1,2
15216,1054208,1,0,1
15216,1054209,1,1,2
15216,1054210,1,0,1
15216,1054211,1,1,2
15216,1054212,1,0,1
15216,1054213,1,1,2
15216,1054214,1,0,1
15216,1054402,1,0,1
15216,1054403,1,1,2
15216,1054404,1,0,1
15216,1054405,1,1,2
15216,1054406,1,0,1
15216,1054407,1,1,2
15216,1054408,1,0,1
15216,1054409,1,1,2
15216,1054410,1,1,2
15216,1054411,1,0,1
15216,1054412,1,1,2
15216,1054414,1,0,1
15216,1054415,1,1,2
15216,1054416,1,0,1
15216,1054417,1,1,2
15216,1054418,1,0,1
15216,1054419,1,1,2
15216,1054421,1,0,1
15216,1054422,1,1,2
15216,1054424,1,0,1
15216,1054427,1,0,1
15216,1054428,1,1,2
15216,1054430,1,0,1
15216,1054431,1,1,2
15216,1054432,1,0,1
15216,1054433,1,1,2
15216,1054441,1,0,1
15216,1054442,1,1,2
15216,1054443,1,0,1
15216,1054444,1,1,2
15216,1054445,1,1,2
15216,1054446,1,0,1
15216,1054447,1,1,2
15216,1054449,1,0,1
15216,1054450,1,1,2
15216,1054452,1,0,1
15216,1054453,1,1,2
15216,1054454,1,0,1
15216,1054455,1,0,1
15216,1054457,1,0,1
15216,1054458,1,1,2
15216,1054460,1,0,1
15216,1054461,1,1,2
15216,1054462,1,0,1
15216,1054463,1,1,2
15216,1054464,1,0,176677
15216,1054465,1,1,2
15216,1054466,1,0,176677
15216,1054467,1,1,2
15216,1054469,1,0,176677
15216,1054470,1,1,2
15216,1054472,1,1,2
15216,1054473,1,1,2
15216,1054476,1,0,176677
15216,1054477,2,1,2
15236,1054480,1,0,83
15236,1054481,1,1,84
15236,1054482,1,0,83
15236,1054483,1,1,84
15236,1054484,1,0,83
15236,1054485,1,1,84
15236,1054486,1,0,83
15236,1054487,1,1,84
15236,1054488,1,0,83
15236,1054490,1,0,83
15236,1054491,1,1,84
15236,1054492,1,0,83
15236,1054494,1,0,83
15236,1054496,1,1,84
15236,1054497,1,0,83
15236,1054499,1,0,83
15236,1054500,1,1,84
15236,1054501,1,0,83
15236,1054503,1,0,83
15236,1054505,1,0,83
15236,1054507,1,0,83
15236,1054509,1,1,84
15236,1054510,1,0,83
15236,1054513,1,0,83
15236,1054516,1,0,83
15236,1054518,1,1,84
15236,1054519,1,0,83
15236,1054521,1,1,84
15236,1054522,1,0,83
15236,1054525,1,0,83
15236,1054528,1,0,83
15236,1054530,1,0,83
15236,1054531,1,1,84
15236,1054532,1,1,84
15236,1054535,1,0,83
15236,1054536,1,1,84
15236,1054538,1,1,84
15236,1054541,1,0,83
15236,1054542,1,1,84
15236,1054544,1,1,84
15236,1054546,1,0,83
15236,1054547,1,1,84
15236,1054549,1,0,83
15236,1054550,1,1,84
15236,1054552,1,0,83
15236,1054553,2,1,84
15236,1054556,1,1,84
15236,1054557,1,1,84
15236,1054558,1,1,84
15236,1054559,1,1,84
15236,1054560,1,1,84
15236,1054561,1,1,84
15236,1054562,1,1,84
15236,1054563,1,1,84
15800,1054564,1,1,81
15800,1054684,1,1,81
15800,1054686,1,1,81
15800,1054687,1,0,82
15800,1054691,1,1,81
15800,1054692,1,0,82
15800,1054694,1,1,81
15800,1054695,1,0,82
15800,1054697,1,1,81
15800,1054700,1,0,82
15800,1054702,1,1,81
15800,1054703,1,0,82
15800,1054705,1,1,81
15800,1054706,1,0,82
15800,1054708,1,1,81
15800,1054710,1,0,82
15800,1054714,1,1,81
15800,1054716,1,0,82
15800,1054718,1,1,81
15800,1054719,1,0,82
15800,1054721,1,1,81
15800,1054722,1,0,82
15800,1054724,1,1,81
15800,1054725,1,0,82
15800,1054728,1,1,81
15800,1054730,1,0,82
15800,1054732,1,0,82
15800,1054739,1,0,82
17424,1054741,1,0,139465
17424,1054742,1,1,139466
17424,1054744,1,0,139465
17424,1054745,1,1,139466
17424,1054747,1,0,139465
17424,1054748,1,1,139466
17424,1054750,1,0,139465
17424,1054751,1,1,139466
15254,1056609,11,1,100
15254,1056610,11,0,101
15254,1056611,11,1,100
15254,1056612,11,0,101
15254,1056613,11,1,100
15254,1056614,11,0,101
15254,1056615,11,1,100
15254,1056616,11,0,101
15254,1056617,11,1,102
15254,1056618,11,0,139777
15254,1056619,11,1,102
15254,1056620,11,0,139777
15254,1056621,11,1,102
15254,1056622,11,0,139777
15254,1056623,11,1,102
15254,1056624,11,0,139777
15254,1056626,11,1,102
15254,1056627,11,0,139777
15254,1056628,11,1,102
15254,1056629,11,0,139777
15254,1056630,11,1,102
15254,1056631,11,0,139777
15254,1056632,11,1,102
15254,1056633,11,1,102
15254,1056634,11,0,139777
15254,1056635,11,1,102
15254,1056636,11,1,102
15254,1056637,11,0,139777
15254,1056638,11,1,100
15254,1056639,11,1,102
15254,1056640,11,0,139777
15254,1056641,11,0,101
15254,1056642,11,1,100
15254,1056643,11,1,102
15254,1056644,11,0,139777
15254,1056645,11,0,101
15254,1056646,11,1,100
15254,1056647,11,1,100
15254,1056648,11,0,101
15254,1056649,11,1,100
15254,1056650,11,0,101
15254,1056652,11,0,101
15254,1056653,11,1,100
15254,1056654,11,0,101
15254,1056656,11,0,139777
15254,1056657,11,0,139777
15254,1056695,12,1,100
15254,1056696,12,0,101
15254,1056697,12,1,100
15254,1056698,12,0,101
15254,1056699,12,1,100
15254,1056700,12,0,101
15254,1056701,12,1,100
15254,1056702,12,0,101
15254,1056703,12,1,102
15254,1056704,12,0,139777
15254,1056705,12,1,100
15254,1056706,12,1,102
15254,1056707,12,0,139777
15254,1056708,12,0,101
15254,1056709,12,1,100
15254,1056710,12,1,102
15254,1056711,12,0,139777
15254,1056712,12,0,101
15254,1056713,12,1,100
15254,1056714,12,1,102
15254,1056715,12,0,139777
15254,1056716,12,0,101
15254,1056717,12,1,100
15254,1056718,12,1,102
15254,1056719,12,0,139777
15254,1056720,12,0,101
15254,1056722,12,1,102
15254,1056723,12,0,139777
15254,1056725,12,1,102
15254,1056726,12,0,139777
15254,1056727,12,1,102
15254,1056728,12,1,102
15254,1056729,12,0,139777
15254,1056730,12,1,100
15254,1056731,12,1,102
15254,1056732,12,1,102
15254,1056733,12,0,139777
15254,1056734,12,0,101
15254,1056735,12,1,102
15254,1056736,12,0,139777
15254,1056737,12,1,100
15254,1056738,12,1,100
15254,1056739,12,0,101
15254,1056740,12,1,100
15254,1056741,12,0,101
15254,1056743,12,1,102
15254,1056744,12,0,139777
15254,1056745,12,0,101
15254,1056746,12,1,100
15254,1056747,12,1,100
15254,1056748,12,0,101
15254,1056749,12,1,100
15254,1056750,12,0,101
15254,1056751,12,1,100
15254,1056752,12,0,101
15254,1056753,12,1,100
15254,1056754,12,0,101
15254,1056756,12,0,101
15254,1056757,12,1,100
15254,1056758,12,0,101
15254,1056760,12,0,139777
15254,1056761,12,0,139777
15216,1057017,3,0,1
15216,1057018,3,1,2
15216,1057019,3,0,1
15216,1057020,3,1,2
15216,1057022,3,0,1
15216,1057023,3,1,2
15216,1057024,3,0,1
15216,1057026,3,0,1
15216,1057027,3,1,2
15216,1057028,3,0,1
15216,1057029,3,1,2
15216,1057030,3,0,1
15216,1057031,3,1,2
15216,1057032,3,0,1
15216,1057033,3,1,2
15216,1057034,3,0,1
15216,1057035,3,1,2
15216,1057036,3,0,1
15216,1057037,3,1,2
15216,1057038,3,0,1
15216,1057039,3,1,2
15216,1057040,3,0,1
15216,1057041,3,1,2
15216,1057042,3,0,1
15216,1057043,3,1,2
15216,1057044,3,0,1
15216,1057045,3,1,2
15216,1057046,3,0,1
15216,1057047,3,1,2
15216,1057048,3,0,1
15216,1057049,3,1,2
15216,1057050,3,0,1
15216,1057051,3,1,2
15216,1057053,3,0,1
15216,1057054,3,1,2
15216,1057056,3,0,1
15216,1057057,3,1,2
15216,1057059,3,0,1
15216,1057060,3,1,2
15216,1057061,3,0,1
15216,1057062,3,1,2
15216,1057065,3,0,1
15216,1057066,3,1,2
15216,1057067,3,0,1
15216,1057068,3,1,2
15216,1057069,3,0,1
15216,1057070,3,1,2
15216,1057071,3,0,1
15216,1057072,3,1,2
15216,1057073,3,0,1
15216,1057074,3,1,2
15216,1057075,3,0,1
15216,1057076,3,1,2
15216,1057077,3,0,1
15216,1057078,3,1,2
15216,1057079,3,0,1
15216,1057080,3,1,2
15216,1057081,3,0,1
15216,1057082,3,1,2
15216,1057083,3,0,1
15216,1057084,3,1,2
15216,1057085,3,0,1
15216,1057086,3,1,2
15216,1057087,3,0,1
15216,1057088,3,1,2
15216,1057089,3,0,1
15216,1057090,3,1,2
15216,1057092,3,0,1
15216,1057093,3,1,2
15216,1057094,3,0,1
15216,1057095,3,1,2
15216,1057096,3,0,1
15216,1057097,3,1,2
15216,1057098,3,0,1
15216,1057099,3,1,2
15216,1057100,3,0,1
15216,1057101,3,1,2
15216,1057102,3,0,1
15216,1057103,3,1,2
15216,1057104,3,0,1
15216,1057105,3,1,2
15216,1057107,3,0,1
15216,1057108,3,1,2
15216,1057109,3,0,1
15216,1057110,3,1,2
15216,1057111,3,0,1
15216,1057112,3,1,2
15216,1057113,3,0,1
15216,1057114,3,1,2
15216,1057115,3,0,1
15216,1057116,3,1,2
15216,1057117,3,0,1
15216,1057118,3,1,2
15216,1057119,3,0,1
15216,1057120,3,1,2
15216,1057121,3,0,1
15216,1057122,3,1,2
15216,1057123,3,0,1
15216,1057125,3,1,2
15216,1057126,3,0,1
15216,1057127,3,1,2
15216,1057128,3,0,1
15216,1057129,3,1,2
15216,1057130,3,0,1
15216,1057131,3,1,2
15216,1057133,3,0,176677
15216,1057134,3,1,2
15216,1057135,3,1,2
15216,1057136,3,0,176677
15216,1057137,3,1,2
15216,1057140,3,0,176677
15216,1057141,3,1,2
15216,1057144,3,0,176677
15216,1057145,1,1,2
15212,1057251,4,0,30
15212,1057252,4,1,31
15212,1057253,4,0,30
15212,1057254,4,1,31
15212,1057255,4,0,30
15212,1057257,4,0,30
15212,1057258,4,1,31
15212,1057259,4,1,31
15212,1057260,4,0,30
15212,1057261,4,1,31
15212,1057262,4,0,30
15212,1057263,4,1,31
15212,1057264,4,0,30
15212,1057265,4,1,31
15212,1057266,4,0,30
15212,1057267,4,1,31
